titel,kunstner,svaerhed,noter
"Barbie Girl","Aqua",1,"Alle kender den. God som allerførste runde."
"Kun for mig","Medina",1,"Radiohit man ikke kan undgå at kende"
"Sleeping My Day Away","D-A-D",2,"Riffet er genkendeligt på et halvt sekund"
"Bag duggede ruder","TV-2",2,"Alle kan omkvædet — færre kan titlen"
"Costa Kalundborg","Shu-bi-dua",2,"Titlen er nem hvis man først hører omkvædet"
"Hot!","Nik & Jay",2,"2000'erne, folkeskolediskotek"
"7 Years","Lukas Graham",1,"Dansk kunstner, engelsk sprog — afhænger af vores definition"
"Stor mand","Tobias Rahim",2,"Nyere. Test om det er for nyt til de ældre spillere."
"Kvinde min","Gasolin'",3,"Klassiker — svær for de yngste. Husk apostroffen i kunstnernavnet."
"Den jeg er","Rasmus Seebach",2,"Ren radiopop, meget genkendelig"
